starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape,real_n
8:53:38,2.18E-02,1,7000,,
8:54:49,0.3433349,2,7000,,
8:56:01,2.97E-02,3,7000,,
8:57:10,0.4817576,4,7000,,
8:58:30,2.46E-02,5,7000,,
8:59:32,4.90E-02,6,7000,,
9:00:48,4.40E-02,7,7000,,
9:01:58,6.35E-02,8,7000,,
9:03:19,2.74E-02,9,7000,,
9:04:36,2.24E-02,10,7000,,
9:05:43,5.96E-02,11,7000,,
9:06:54,3.08E-02,12,7000,,
9:07:59,3.05E-02,13,7000,,
9:09:12,2.99E-02,14,7000,,
9:10:19,0.2352949,15,7000,,
9:11:35,0.4411408,16,7000,,
9:12:49,3.35E-02,17,7000,,
9:14:00,4.28E-02,18,7000,,
9:15:02,7.93E-03,19,7000,,
9:15:54,6.38E-03,20,7000,,
8:53:38,5.07E-02,1,6262,,
8:54:49,4.88E-02,2,6262,,
8:56:01,3.10E-02,3,6262,,
8:57:10,7.11E-02,4,6262,,
8:58:30,4.02E-02,5,6262,,
8:59:32,0.0789771,6,6262,,
9:00:48,5.77E-02,7,6262,,
9:01:58,5.10E-02,8,6262,,
9:03:19,3.96E-02,9,6262,,
9:04:36,0.0440267,10,6262,,
9:05:43,5.34E-02,11,6262,,
9:06:54,8.76E-02,12,6262,,
9:07:59,0.1452481,13,6262,,
9:09:12,6.92E-02,14,6262,,
9:10:19,3.46E-02,15,6262,,
9:11:35,5.74E-02,16,6262,,
9:12:49,1.13E-02,17,6262,,
9:14:00,0.0109986,18,6262,,
9:15:02,3.52E-05,19,6262,,
9:15:54,7.80E-04,20,6262,,
